Sem,Subject Code,Subject name
1,BMATS101,Mathematics for CSE Stream-I
1,BPHYS102,Physics for CSE Stream
1,BPOPS103,Principles of Programming Using C
1,BESCK104A,Introduction to Civil Engineering
1,BESCK104B,Introduction to Electrical Engineering
1,BESCK104C,Introduction to Electronics Engineering
1,BESCK104D,Introduction to Mechanical Engineering
1,BPLCK105B,Introduction to Python Programming
1,BPLCK105D,Introduction to C++ programming
1,BENGK106,Communicative English
1,BKSKK107,Samskrutika Kannada
1,BIDTK158,Innovation and Design Thinking
2,BMATS201,Mathematics for CSE Stream-II
2,BCHES202,Chemistry for CSE Stream
2,BCEDK203,Computer Aided Engineering Drawing
2,BESCK204A,Introduction to Civil Engineering
2,BESCK204B,Introduction to Electrical Engineering
2,BESCK204D,Introduction to Mechanical Engineering
2,BETCK205B,Green Buildings
2,BETCK205E,Renewable Energy Sources
2,BPWSK206,Professional Writing Skill in English
2,BICOK207,Indian Constitution
2,BSFHK258,Scientific Foundations for Health
3,BCS301,Mathematics for Computer Science
3,BCS302,Digital Design & Computer Organization
3,BCS303,Operating Systems
3,BCS304,Data Structures and Applications
3,BCSL305,Data Structures Lab
3,BCS306A,Object Oriented Programming with Java
3,BSCK307,Social Connect and Responsibility
3,BCS358A,Data Analytics with Excel
3,BPEK359,Physical Education
3,BNSK359,National Service Scheme (NSS)
3,BYOK359,Yoga
4,BCS401,Analysis & Design of Algorithms
4,BAD402,Artificial Intelligence
4,BCS403,Database Management Systems
4,BCSL404,Analysis & Design of Algorithms Lab
4,BXX405x,Ability Enhancement Course
4,BDS456x,Engineering Science Course
4,BBOC407,Biology For Engineers
4,BUHK408,Universal human values course
4,BPEK459,Physical Education
4,BNSK459,National Service Scheme (NSS)
4,BYOK459,Yoga
5,BAD501,Software Engineering & Project Management
5,BAD502,Computer Networks
5,BAD503,Theory of Computation
5,BADL504,Data Visualization Lab
5,BAD515x,Professional Elective Course
5,BAD586,Mini Project
5,BRMK557,Research Methodology and IPR
5,BESK508,Environmental Studies
5,BPEK559,Physical Education
5,BNSK559,National Service Scheme (NSS)
5,BYOK559,Yoga
6,BAD601 ,Big Data Analytics
6,BAD602 ,Machine Learning
6,BAD613x ,Professional Elective Course
6,BAD654x,Open Elective Course
6,BAD685,Project Phase I
6,BADL606,Machine Learning lab
6,BAD657x,Ability Enhancement Course
6,BPEK658,Physical Education
6,BNSK658,National Service Scheme (NSS)
6,BYOK658,Yoga
7,BAD701,Deep Learning & Reinforcement Learning
7,BAS702,Statistical Machine Learning for Data Science
7,BAD703,Data Security & Privacy
7,BAD714x,Professional Elective Course
7,BAD755x,Open Elective Course
7,BAD786,Major Project Phase-II
8,BAD801x,Professional Elective
8,BAD802x,Open Elective
8,BAD803,Internship
